X,Y,PlacementDate,EarliestDeliveryDate,LatestDeliveryDate,IsPrime
2.1,1.2,38,41,45,0
0.2,1.7,49,52,56,0
1.5,1.9,6,9,13,0
3.4,2.1,18,21,25,0
1.2,2.2,51,54,58,0
2.2,4,48,51,55,0
0.2,1.2,53,56,60,0
0.7,2.3,42,45,49,0
3.3,0.6,29,32,36,0
2.5,0.3,51,54,58,0
3.4,2.4,42,45,49,0
3.2,2.9,42,45,49,0
1.9,0.5,7,10,14,0
3.8,0,33,36,40,0
0.6,1.4,17,20,24,0
1.9,3.6,13,16,20,0
3.3,0,21,24,28,0
0.9,0.7,50,53,57,0
2.2,0.1,45,48,52,0
1.8,2.8,18,21,25,0
1,2.4,49,52,56,0
1.6,1.5,37,40,44,0
0.1,3.5,2,5,9,0
0.5,3.2,38,41,45,0
3.2,4,42,45,49,0
4,1.8,53,56,60,0
1,1.3,14,17,21,0
3.2,2.4,26,29,33,0
3.7,0.5,25,28,32,0
1,2.4,46,49,53,0
2.8,3.6,28,31,35,0
3.1,1.2,8,11,15,0
2.2,1.3,44,47,51,0
2,2,3,6,10,0
1.9,1.1,42,45,49,0
3.5,1.2,29,32,36,0
0.5,2.2,34,37,41,0
1.8,1.5,14,17,21,0
3.8,1.2,51,54,58,0
2,2.2,6,9,13,0
3.2,0.9,35,38,42,0
2.6,4,40,43,47,0
3.7,2.3,53,56,60,0
0.1,0.5,48,51,55,0
0.1,2.4,36,39,43,0
4,1.8,1,4,8,0
1.8,2.5,19,22,26,0
1,0.2,27,30,34,0
2.7,0.1,31,34,38,0
1.1,2.1,22,25,29,0
1.8,1.5,19,22,26,0
2.3,0,15,18,22,0
0.1,3.7,38,41,45,0
3.5,4,3,6,10,0
0.5,0,32,35,39,0
3.1,0,9,12,16,0
2.8,2,37,40,44,0
0.7,3,4,7,11,0
0.3,1.7,18,21,25,0
1.1,2.8,52,55,59,0
0.2,0.7,44,47,51,0
0.5,3.3,1,4,8,0
1,3.4,4,7,11,0
4,2.9,1,4,8,0
3.2,3.6,47,50,54,0
0.9,2.9,4,7,11,0
0.7,1.6,27,30,34,0
3.3,2.3,2,5,9,0
2,2.6,15,18,22,0
0.6,3.9,43,46,50,0
1.8,0.3,38,41,45,0
0.4,0.8,46,49,53,0
3.1,2,21,24,28,0
1.5,1.9,46,49,53,0
3.9,1.2,41,44,48,0
2.3,2.4,42,45,49,0
0.6,3.3,28,31,35,0
1.2,2.5,48,51,55,0
0.9,0.4,45,48,52,0
2.3,1.3,37,40,44,0
2.8,3.3,36,39,43,0
3.8,3.8,39,42,46,0
0.4,3,38,41,45,0
0.4,0.5,40,43,47,0
3.5,0.5,35,38,42,0
2.2,2.8,45,48,52,0
3.9,3.7,4,7,11,0
3.3,0.8,53,56,60,0
0.9,1.9,17,20,24,0
1.4,0.1,29,32,36,0
1.8,3.1,2,5,9,0
2.6,2.8,12,15,19,0
0.4,3.4,17,20,24,0
0.3,3.8,40,43,47,0
2.3,3.4,7,10,14,0
1.4,1.8,51,54,58,0
3,1.8,47,50,54,0
4,1,1,4,8,0
3.2,2.1,20,23,27,0
3.1,3.6,44,47,51,0
0.2,1.5,9,12,16,0
0.9,0,37,40,44,0
1,0.7,16,19,23,0
0.5,1,49,52,56,0
0.5,3.3,24,27,31,0
1.1,0.8,1,4,8,0
0.4,4,33,36,40,0
3.6,3.9,30,33,37,0
3.7,3.3,29,32,36,0
1.4,2.3,11,14,18,0
3.7,2.8,23,26,30,0
0.9,3.7,27,30,34,0
1.1,0.8,7,10,14,0
0.7,1.4,33,36,40,0
0.1,1.9,38,41,45,0
3.3,3.2,3,6,10,0
0.1,3.8,38,41,45,0
2.8,3.3,27,30,34,0
2.6,2.9,14,17,21,0
0.4,0.4,36,39,43,0
1.9,0.2,14,17,21,0
0.9,1.1,14,17,21,0
0.2,2.3,47,50,54,0
0.2,3,45,48,52,0
1.2,3.3,5,8,12,0
1.8,2.7,6,9,13,0
3.1,2.8,26,29,33,0
0.6,1.5,35,38,42,0
2,0,35,38,42,0
2.7,0.5,43,46,50,0
1.8,2.6,9,12,16,0
3.9,3.7,24,27,31,0
1.5,0.1,20,23,27,0
0.3,0.3,44,47,51,0
0.4,1.8,16,19,23,0
2.8,3.6,14,17,21,0
0.2,2.8,15,18,22,0
1.3,3.4,32,35,39,0
2.1,1.4,7,10,14,0
1.7,0.2,34,37,41,0
1.9,2,17,20,24,0
2.4,2,32,35,39,0
0,3.7,9,12,16,0
0.2,4,39,42,46,0
3.5,0.5,17,20,24,0
2.2,3.3,44,47,51,0
3.8,3.6,36,39,43,0
0,1,43,46,50,0
1.9,3.3,37,40,44,0
0,0.9,32,35,39,0
2.6,2.9,42,45,49,0
0.1,1.2,27,30,34,0
1.1,1.4,32,35,39,0
2.4,1.7,50,53,57,0
0.1,1.3,53,56,60,0
3.6,3.5,22,25,29,0
2.7,3.4,17,20,24,0
0.7,3.5,42,45,49,0
2.4,1.3,24,27,31,0
1.4,1.3,52,55,59,0
0.8,0.1,40,43,47,0
2.2,0.2,7,10,14,0
1.7,1.5,52,55,59,0
0.6,0,45,48,52,0
3.8,0.1,50,53,57,0
3.4,3.9,10,13,17,0
2.2,2.7,42,45,49,0
1,3.5,35,38,42,0
0.8,1.8,52,55,59,0
3.9,3.5,45,48,52,0
3.9,0.2,28,31,35,0
2.9,2.7,17,20,24,0
3.4,0.3,22,25,29,0
1.2,1.2,51,54,58,0
0.7,0.9,48,51,55,0
1.5,0.4,49,52,56,0
2,2.6,25,28,32,0
2.1,3.8,42,45,49,0
1.5,0.5,36,39,43,0
2.3,0.4,44,47,51,0
0.8,0.4,2,5,9,0
3.4,3.6,24,27,31,0
2.4,2.9,9,12,16,0
3,0.2,21,24,28,0
3.9,0.9,35,38,42,0
0.8,2.6,50,53,57,0
1.6,0.8,14,17,21,0
1.3,2.9,48,51,55,0
0.4,0.3,36,39,43,0
1.6,2.9,32,35,39,0
2.3,3.9,34,37,41,0
3.3,3.2,8,11,15,0
2.9,1.7,34,37,41,0
3.1,0.9,47,50,54,0
0.1,0.7,38,41,45,0
2.4,1.5,25,28,32,0
0.9,3.3,48,51,55,0
2.5,0.6,22,25,29,0
3.7,1,34,37,41,0
1.5,2.8,9,12,16,0
4,1.3,44,47,51,0
2.8,0.5,8,11,15,0
1.4,3.7,33,36,40,0
3,2.9,25,28,32,0
0.8,3.2,13,16,20,0
3.5,1.7,23,26,30,0
0.9,2.9,51,54,58,0
3.2,1.3,35,38,42,0
0.4,0.9,27,30,34,0
2.1,2.4,11,14,18,0
2.9,2.3,29,32,36,0
3.4,1.3,8,11,15,0
3.2,2.7,25,28,32,0
0.6,1.8,35,38,42,0
3.3,2.6,38,41,45,0
2.5,2.3,14,17,21,0
3.3,3.4,46,49,53,0
3.5,2.6,30,33,37,0
0.4,3,44,47,51,0
2.4,1.2,51,54,58,0
3.6,0.1,38,41,45,0
1.8,3.5,8,11,15,0
1,2.8,53,56,60,0
3.8,3.4,48,51,55,0
1.6,2.8,49,52,56,0
2.6,1.3,42,45,49,0
1.2,0.7,51,54,58,0
2.8,0.3,27,30,34,0
1.6,0.7,44,47,51,0
1.3,3.3,31,34,38,0
3.7,2.9,6,9,13,0
0.5,0.6,34,37,41,0
2.6,1.8,48,51,55,0
3.4,1.6,6,9,13,0
2.1,3.4,40,43,47,0
3.6,1.9,34,37,41,0
3.4,3.3,22,25,29,0
2.7,2,43,46,50,0
0.5,3.6,4,7,11,0
1.5,1.1,16,19,23,0
3.8,0.9,16,19,23,0
2.5,1.6,53,56,60,0
0.6,0.2,6,9,13,0
1.5,3.8,39,42,46,0
2,2,27,30,34,0
1.4,1.5,18,21,25,0
2.1,1,26,29,33,0
3.5,3.7,21,24,28,0
1.1,0.1,2,5,9,0
3.7,1.9,11,14,18,0
1.4,1.8,35,38,42,0
2.1,0.3,28,31,35,0
3.6,0.9,7,10,14,0
3,2.7,46,49,53,0
0,0.8,44,47,51,0
0.3,2.2,49,52,56,0
3,0.4,9,12,16,0
0.6,3.9,14,17,21,0
0.4,1.1,50,53,57,0
0,0.9,21,24,28,0
0.9,2.3,42,45,49,0
3,0.5,13,16,20,0
2.6,0.2,52,55,59,0
2.4,3.3,14,17,21,0
1.9,3.5,43,46,50,0
3.6,4,51,54,58,0
2.5,2.9,18,21,25,0
2.7,3.7,50,53,57,0
2.8,0.1,30,33,37,0
3,0.3,14,17,21,0
1,1.5,28,31,35,0
1,0.6,36,39,43,0
1.2,3.2,3,6,10,0
2.7,1.5,53,56,60,0
2.6,3.6,33,36,40,0
3.5,3.1,2,5,9,0
2.5,1.7,8,11,15,0
2.1,0.6,46,49,53,0
1.5,3.4,8,11,15,0
2.4,2.3,22,25,29,0
4,3.5,36,39,43,0
0.1,0.4,52,55,59,0
0.9,1.8,2,5,9,0
2.2,0.4,40,43,47,0
2.8,3.2,10,13,17,0
2.9,2.6,40,43,47,0
2.9,1.2,41,44,48,0
1.7,3.3,52,55,59,0
0.2,0.9,34,37,41,0
3.1,3.3,15,18,22,0
2.5,3.4,15,18,22,0
3.3,3.8,22,25,29,0
0.9,0.8,29,32,36,0
