Day,NumDeliveries,TotalDistance
3,3,10.5608
4,10,44.7399
5,8,47.981
6,8,53.034
7,14,50.3139
8,10,55.4888
9,13,55.5061
10,12,55.2977
11,13,50.1314
12,9,55.5543
13,10,54.7524
14,11,54.0766
15,11,50.2396
16,8,52.4516
17,8,57.609
18,10,58.4015
19,14,53.2742
20,13,51.9409
21,10,51.5086
22,12,53.5429
23,9,53.2627
24,15,50.2578
25,12,51.1469
26,12,51.3888
27,9,49.5536
28,10,53.3578
29,11,49.8358
30,10,49.6808
31,8,52.9157
32,10,48.4629
33,11,48.5375
34,10,51.7392
35,10,52.9242
36,11,51.2696
37,15,48.8812
38,11,51.2497
39,8,52.1139
40,10,43.5127
41,11,48.9829
42,14,46.9837
43,12,42.958
44,10,44.8033
45,12,43.2382
46,10,44.1354
47,8,43.7068
48,16,40.0232
49,10,38.5489
50,6,40.0698
51,8,40.6061
52,9,40.5655
53,12,39.266
54,9,38.0426
55,8,42.3138
56,14,36.3643
57,7,36.0836
58,8,35.551
59,10,36.7168
60,7,36.8007
Total,600,2742.26
