Day,NumDeliveries,TotalDistance
3,1,6.20322
4,7,20.6605
5,7,19.6008
6,9,19.3098
7,8,20.0689
8,9,19.8505
9,10,20.1609
10,12,19.4568
11,10,18.9816
12,10,19.6679
13,7,19.6735
14,13,19.324
15,9,20.2782
16,9,19.0262
17,11,20.0328
18,10,21.4148
19,11,20.0412
20,10,21.8884
21,15,19.589
22,11,19.5995
23,5,21.1798
24,8,19.695
25,11,20.1351
26,11,21.7734
27,11,21.0888
28,12,21.0672
29,10,21.0582
30,12,19.5369
31,12,20.449
32,9,21.579
33,8,21.5208
34,10,20.6879
35,11,21.3217
36,10,21.827
37,9,21.0146
38,13,20.9967
39,8,21.2524
40,18,20.7619
41,8,21.0853
42,12,21.4233
43,7,21.7661
44,10,21.5315
45,13,21.4814
46,11,18.6933
47,16,19.605
48,14,20.5451
49,16,19.5635
50,10,21.9194
51,12,21.765
52,9,20.4606
53,11,20.145
54,9,20.1675
55,18,19.6282
56,10,19.4148
57,11,20.9464
58,5,21.0518
59,8,17.7327
60,9,16.8329
Total,596,1167.53
