Day,NumDeliveries,TotalDistance
2,1,8.20975
3,1,5.45894
4,4,16.6127
5,11,17.0711
6,9,18.2346
7,10,18.2074
8,9,18.0124
9,8,18.8719
10,8,18.2504
11,10,18.4832
12,7,18.343
13,6,19.0356
14,11,17.8671
15,7,18.8173
16,8,18.4137
17,13,16.3361
18,7,19.3541
19,8,17.4598
20,8,19.4196
21,9,18.5201
22,9,18.6727
23,12,18.067
24,5,19.9866
25,11,18.0119
26,6,18.9311
27,8,18.797
28,7,18.9299
29,12,19.1361
30,12,18.6807
31,6,19.3827
32,13,18.2567
33,9,17.3579
34,8,18.5434
35,7,18.2548
36,8,17.5578
37,12,17.255
38,10,18.7542
39,6,19.3607
40,8,18.8882
41,13,18.2115
42,6,17.2498
43,8,19.2115
44,10,17.5794
45,8,18.6085
46,9,17.3452
47,7,18.2997
48,10,16.777
49,6,19.1708
50,9,18.0791
51,14,16.5863
52,8,19.2548
53,5,20.1093
54,8,18.3701
55,11,17.7825
56,10,18.734
57,8,18.6811
58,13,18.1898
59,10,19.0109
60,10,17.5081
61,8,18.388
62,8,19.222
63,8,18.5927
64,8,17.2336
65,11,17.5904
66,6,18.4005
67,13,18.6893
68,8,18.5044
69,10,19.6093
70,7,19.141
71,8,18.9857
72,6,18.8234
73,7,18.7415
74,10,18.2272
75,10,18.6524
76,16,18.0962
77,8,18.4527
78,5,18.299
79,11,18.424
80,8,18.842
81,10,18.078
82,6,18.563
83,8,18.0293
84,9,17.8445
85,7,18.0404
86,10,17.2444
87,13,17.4565
88,7,17.4681
89,9,17.9112
90,10,17.0838
91,9,17.6036
92,10,17.2918
93,14,17.8647
94,8,19.1682
95,9,17.7131
96,7,18.0398
97,6,18.2147
98,8,17.6223
99,13,18.206
100,5,18.5818
101,12,17.6918
102,9,18.8851
103,10,16.9995
104,8,18.6786
105,6,18.9079
106,8,18.408
107,6,18.5674
108,10,18.8107
109,9,18.7002
110,8,19.2627
111,13,18.6723
112,8,18.1713
