Day,NumDeliveries,TotalDistance
4,7,39.5501
5,6,44.6447
6,10,44.7109
7,9,44.7335
8,7,42.7377
9,14,44.2028
10,10,44.5465
11,9,44.7103
12,9,48.4966
13,9,44.8343
14,11,42.4251
15,7,47.2395
16,10,43.3536
17,6,47.0354
18,11,45.9404
19,10,42.5161
20,6,46.3382
21,8,44.1872
22,7,45.0404
23,10,43.8474
24,10,44.624
25,11,46.4807
26,8,45.4427
27,11,42.6083
28,8,43.3639
29,9,42.8178
30,9,47.1255
31,10,43.5461
32,7,47.4856
33,9,47.7417
34,9,42.1654
35,10,42.091
36,12,44.4833
37,10,42.749
38,11,40.485
39,12,43.476
40,7,45.7245
41,9,41.9782
42,8,42.4461
43,8,43.4673
44,10,42.1613
45,10,41.4473
46,6,40.7037
47,13,40.7557
48,8,37.0391
49,8,38.2142
50,5,38.68
51,9,38.4219
52,10,36.6882
53,10,34.1261
54,8,36.8727
55,6,35.7516
56,9,33.2141
57,8,33.1452
58,6,32.8698
59,6,31.1284
60,4,32.2528
Total,500,2394.86
