Day,NumDeliveries,TotalDistance
4,5,16.714
5,5,16.8049
6,7,15.0755
7,5,18.3595
8,10,17.0108
9,6,17.5335
10,9,17.1568
11,8,17.8739
12,11,16.94
13,7,18.4269
14,7,18.0386
15,7,18.1343
16,9,17.2588
17,13,18.1163
18,10,17.2454
19,6,16.2534
20,9,16.4778
21,5,16.3856
22,15,15.8459
23,6,15.9447
24,7,16.2789
25,8,16.6605
26,7,16.7652
27,8,17.2312
28,7,16.6793
29,12,16.5226
30,10,16.5917
31,6,17.3025
32,9,17.1946
33,9,17.315
34,8,16.9116
35,10,17.8476
36,9,17.141
37,9,17.1177
38,8,17.6882
39,10,18.7371
40,14,17.2933
41,6,19.2417
42,10,17.9919
43,11,17.5968
44,11,17.1587
45,10,16.695
46,9,18.4937
47,8,17.3406
48,12,17.1232
49,13,16.1194
50,6,17.7264
51,8,17.2804
52,11,15.484
53,8,16.8433
54,10,15.4723
55,15,15.5656
56,8,15.7836
57,6,15.3809
58,8,15.5255
59,9,15.0613
60,7,11.6106
Total,497,962.369
